idOrganizacionPolitica,idExpediente,idJuradoUbicacion,idSolicitudLista,idTipoEleccion,strCarpeta,strCodExpediente,strDistritoElec,strEstadoLista,strJuradoElectoral,strOrganizacionPolitica,strRegion,strTipoOrganizacion,strUbigeo,idPlanGobierno,idProcesoElectoral,fecha_registro
179,90957,1526,22860,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004547,JUNIN,INSCRITO,HUANCAYO,PARTIDO NACIONALISTA PERUANO,JUNIN,PARTIDOS POLITICOS,110000,0,110,2021-03-14 14:20:15
2160,91039,1524,22729,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004628,AYACUCHO,INSCRITO,HUAMANGA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",AYACUCHO,PARTIDOS POLITICOS,050000,0,110,2021-03-14 14:20:15
4,90819,1528,22996,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004409,ANCASH,INSCRITO,HUARAZ,ACCION POPULAR,ANCASH,PARTIDOS POLITICOS,020000,0,110,2021-03-14 14:20:15
2218,90840,1508,22772,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004430,AREQUIPA,INSCRITO,AREQUIPA 1,PARTIDO POLITICO NACIONAL PERU LIBRE,AREQUIPA,PARTIDOS POLITICOS,040000,0,110,2021-03-14 14:20:15
22,90965,1527,22701,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004555,HUANUCO,INSCRITO,HUANUCO,RENOVACION POPULAR,HUANUCO,PARTIDOS POLITICOS,090000,0,110,2021-03-14 14:20:15
2646,90535,1554,22558,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004139,PIURA,INSCRITO,PIURA 1,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,PIURA,PARTIDOS POLITICOS,190000,0,110,2021-03-14 14:20:15
47,90919,1532,22940,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004509,ICA,INSCRITO,ICA,UNION POR EL PERU,ICA,PARTIDOS POLITICOS,100000,0,110,2021-03-14 14:20:15
1257,91011,1554,23070,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004600,PIURA,INSCRITO,PIURA 1,ALIANZA PARA EL PROGRESO,PIURA,PARTIDOS POLITICOS,190000,0,110,2021-03-14 14:20:15
55,90958,1537,23065,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004548,LIMA,INSCRITO,LIMA CENTRO 2,PERU PATRIA SEGURA,LIMA,PARTIDOS POLITICOS,140100,0,110,2021-03-14 14:20:15
15,91112,1525,23168,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004701,HUANCAVELICA,IMPROCEDENTE,HUANCAVELICA,PARTIDO POPULAR CRISTIANO - PPC,HUANCAVELICA,PARTIDOS POLITICOS,080000,0,110,2021-03-14 14:20:15
47,90732,1521,22658,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004329,UCAYALI,INSCRITO,CORONEL PORTILLO,UNION POR EL PERU,UCAYALI,PARTIDOS POLITICOS,250000,0,110,2021-03-14 14:20:15
2191,90706,1519,22909,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004304,LAMBAYEQUE,INSCRITO,CHICLAYO,DEMOCRACIA DIRECTA,LAMBAYEQUE,PARTIDOS POLITICOS,130000,0,110,2021-03-14 14:20:15
32,91162,1508,23110,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004751,AREQUIPA,RETIRO,AREQUIPA 1,PARTIDO APRISTA PERUANO,AREQUIPA,PARTIDOS POLITICOS,040000,0,110,2021-03-14 14:20:15
