decOtroIngresoPrivado,decOtroIngresoPublico,decRemuBrutaPrivado,decRemuBrutaPublico,decRentaIndividualPrivado,decRentaIndividualPublico,idEstado,idHVIngresos,idHojaVida,strAnioIngresos,strTengoIngresos,strUsuario,fecha_registro
0,0,0,40933,0,0,1,133270,134776,2019,1,,2021-03-14 14:20:15
0,0,0,0,20746.37,0,1,132622,134041,2019,1,,2021-03-14 14:20:15
0,0,0,78000,0,0,1,133474,135001,2019,1,,2021-03-14 14:20:15
0,0,0,100800,74400,0,1,135935,137462,2019,1,,2021-03-14 14:20:15
43200,30840,0,0,0,0,1,134031,135649,2019,1,,2021-03-14 14:20:15
0,0,0,60000,0,0,1,134088,135721,2019,1,,2021-03-14 14:20:15
0,0,6000,0,0,0,1,133839,135453,2019,1,,2021-03-14 14:20:15
15000,0,11160,0,36831.02,0,1,133599,135180,2019,1,,2021-03-14 14:20:15
0,0,0,0,15464,0,1,133578,135149,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,132595,134020,,2,,2021-03-14 14:20:15
0,0,0,0,0,0,1,133034,134530,,2,,2021-03-14 14:20:15
0,0,0,43680,0,0,1,132974,134289,2019,1,,2021-03-14 14:20:15
0,0,0,0,4000,6000,1,136239,134290,2019,1,,2021-03-14 14:20:15
0,0,0,180000,0,0,1,133260,134747,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,135299,135953,,2,,2021-03-14 14:20:15
0,0,0,50630,0,0,1,134307,135956,2019,1,,2021-03-14 14:20:15
0,0,30000,15000,0,0,1,133289,134799,2019,1,,2021-03-14 14:20:15
0,0,0,108248.03,54000,0,1,132429,133819,2019,1,,2021-03-14 14:20:15
91200,0,0,31950,0,0,1,132413,133792,2019,1,,2021-03-14 14:20:15
0,0,36000,0,0,0,1,132390,133771,2019,1,,2021-03-14 14:20:15
0,0,9300,0,105876,0,1,132400,133789,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,136215,137817,,2,,2021-03-14 14:20:15
0,0,0,0,30000,0,1,136235,137830,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,136189,137800,,2,,2021-03-14 14:20:15
0,0,0,0,0,0,1,136205,137810,,2,,2021-03-14 14:20:15
0,0,547521.38,0,0,0,1,133523,134537,2019,1,,2021-03-14 14:20:15
0,0,14400,0,48000,0,1,136245,134648,2019,1,,2021-03-14 14:20:15
0,0,157250,0,0,0,1,134772,135403,2018,1,,2021-03-14 14:20:15
0,0,79020,0,0,0,1,135411,135405,2019,1,,2021-03-14 14:20:15
0,0,0,38400,0,0,1,134169,135798,2019,1,,2021-03-14 14:20:15
0,0,5000,30000,0,0,1,135987,137052,2019,1,,2021-03-14 14:20:15
36000,0,0,0,0,0,1,134176,135817,2019,1,,2021-03-14 14:20:15
0,0,7000,0,0,0,1,134190,135830,2019,1,,2021-03-14 14:20:15
5000,0,0,0,0,0,1,134195,135842,2019,1,,2021-03-14 14:20:15
0,0,0,0,38043,0,1,135132,136762,2019,1,,2021-03-14 14:20:15
0,0,14440,0,0,0,1,135143,136786,2019,1,,2021-03-14 14:20:15
6600,0,0,0,0,0,1,135157,136799,2019,1,,2021-03-14 14:20:15
18000,0,0,20000,0,0,1,135171,136813,2019,1,,2021-03-14 14:20:15
0,0,2035,0,0,143560,1,133429,134972,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,135090,136747,,2,,2021-03-14 14:20:15
0,0,60000,30360,0,0,1,134528,134969,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,134735,136380,,2,,2021-03-14 14:20:15
0,0,0,115914.81,0,0,1,135033,136695,2019,1,,2021-03-14 14:20:15
0,0,0,42000,0,0,1,135018,136681,2019,1,,2021-03-14 14:20:15
0,0,0,52000,0,0,1,135030,136688,2019,1,,2021-03-14 14:20:15
0,12696,0,0,0,0,1,135001,136666,2019,1,,2021-03-14 14:20:15
340000,0,0,232981,0,0,1,134279,135913,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,134389,136013,,2,,2021-03-14 14:20:15
10028,28080,141450.22,0,0,0,1,134457,136086,2019,1,,2021-03-14 14:20:15
14400,0,0,0,30000,0,1,134476,136107,2019,1,,2021-03-14 14:20:15
0,0,0,25000,3500,0,1,134359,136005,2019,1,,2021-03-14 14:20:15
0,0,0,0,12000,0,1,134488,136124,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,132852,134329,,2,,2021-03-14 14:20:15
0,0,0,0,0,0,1,132869,134376,,2,,2021-03-14 14:20:15
0,0,0,0,0,0,1,132916,134415,,2,,2021-03-14 14:20:15
0,0,0,0,0,0,1,132873,134378,,2,,2021-03-14 14:20:15
0,0,0,26706,0,0,1,134051,135153,2019,1,,2021-03-14 14:20:15
0,0,138000,29000,0,0,1,134811,136106,2019,1,,2021-03-14 14:20:15
0,0,15600,0,0,0,1,135064,136719,2019,1,,2021-03-14 14:20:15
132600,0,0,19200,335264,0,1,134673,136311,2019,1,,2021-03-14 14:20:15
36000,0,0,0,0,0,1,135188,136784,2019,1,,2021-03-14 14:20:15
0,0,24000,0,0,0,1,135230,136334,2019,1,,2021-03-14 14:20:15
0,0,0,0,48000,0,1,135713,137349,2019,1,,2021-03-14 14:20:15
0,0,0,0,12000,0,1,134691,136345,2019,1,,2021-03-14 14:20:15
0,0,0,0,12000,0,1,135203,136353,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,30000,1,136062,137668,2019,1,,2021-03-14 14:20:15
3000,0,0,0,20400,0,1,136066,137671,2019,1,,2021-03-14 14:20:15
0,6000,0,0,0,0,1,136078,137687,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,136076,137684,,2,,2021-03-14 14:20:15
0,0,0,0,0,51480,1,133815,135206,2019,1,,2021-03-14 14:20:15
0,0,0,22602,0,0,1,133842,135434,2019,1,,2021-03-14 14:20:15
0,0,6510,0,0,0,1,133858,135432,2019,1,,2021-03-14 14:20:15
0,0,0,32040,0,0,1,136161,135431,2019,1,,2021-03-14 14:20:15
0,0,0,27645,10950,0,1,133942,134970,2019,1,,2021-03-14 14:20:15
